"Trinidad","Chaoyang","Chaoyang_Petroleum_(Trinidad)_Ltd_(25%)","Block_2(c)",1,1
"Trinidad","EOG","EOG_Resources_Trinidad__U(a)_Block_Limited","Block_Modified_U(a)",1,1
"Trinidad","EOG","EOG_Resources_Trinidad_U(b)_Block_Unlimited","Block_Modified_U(b)",1,1
"Trinidad","NGSP","NSGP_(Ensign)_Limited_(21.5%)","North_Coast_Marine_Area_1_(NCMA_1)",1,1
"Trinidad","PremierOil","Primera_Block_3(b)_Limited_(25%)","Block_3(b)",1,1
"Trinidad","PremierOil","Primera_East_Brighton_Limited","East_Brighton_Area_Offshore",1,1
"Timor","TalismanEnergy","Talisman","JPDA_06-105",1,1
"Trinidad","Total","Total_E&P_(Trinidad)_B.V._(30%)","Block_2(c)",1,1
"Trinidad","Total","Total_E&P_(Trinidad)_B.V._(8.5%)","Block_3(a)",1,1
"Timor","Petronas","Petronas_(Operator)","JPDA_06-102",107,107
"Timor","JapanEnergy","Japan_Energy_Corporation","JPDA_06-103",11374,11374
"Indonesia","PT","PT_PHE_South_Jambi","South_Jambi_B",16000,16000
"Indonesia","PT","PT_PHE_MFK","MFK",26000,26000
"Timor","JapanEnergy","Japan_Energy_Corporation","JPDA_06-103",29751,29751
"Indonesia","Kingswood","Kingswood_Capital_Ltd","Langgak",39000,39000
"Indonesia","PT","PT_Medco_E&P_Lematang","Lematang",45000,45000
"Indonesia","JOB","JOB_Pertamina-Costa_International_Group_Ltd","Gebang",60000,60000
"Timor","Minza","Minza_Oil_&_Gas","JPDA_06-101_A",90330,90330
"Timor","Minza","Minza_Oil_&_Gas","JPDA_06-101_A",91746,91746
"Indonesia","CostaInternational","Costa_International_Group_Ltd.","Gebang",103000,103000
"Timor","Reliance","Reliance_Exploration_&_Production_(Operator)","S-06-06_(Block_K)",104880,104880
"Indonesia","JOB","JOB_Pertamina-Costa_International_Group_Ltd","Gebang",193000,193000
"Indonesia","Ampolex","Ampolex_(Cepu)_PTE._Ltd","Cepu",199000,199000
"Indonesia","PetroChina","PetroChina_International_Bangko_Ltd.","Bangko",226000,226000
"Indonesia","Malacca","Malacca_Petroleum_Limited","Malacca_Strait",312000,233000
"Indonesia","ConocoPhilips","ConocoPhillips_(South_Jambi)_Ltd.","South_Jambi_B",237000,237000
"Indonesia","PT","PT_PHE_MFK","MFK",240000,240000
"Indonesia","EMP","EMP_Korinci_Baru_Ltd","Korinci",246000,246000
"Indonesia","PT","PT_PHE_South_Jambi","South_Jambi_B",293000,293000
"Indonesia","PetroChina","PetroChina_International_Bangko_Ltd.","Bangko",329000,329000
"Indonesia","Lundin","Lundin_Indonesia_BV_/_RHP_Salawati_Island_BV","Salawati_Island_JOB",386000,386000
"Indonesia","BP","BP_Wiriagar_Ltd.","Wiriagar",386000,387000
"Timor","Oilex","Oilex_(Operator)","JPDA_06-103",417407,417407
"Indonesia","Persuda","Perusda_Benuo_Taka","Wailawi",442000,442000
"Indonesia","PearlOil","Pearl_Oil_(Island)_Ltd/Petrogas_(Island)_Ltd","Salawati_Island_JOB",497000,497000
"Indonesia","BUT","BUT_Tomori_E&P_Limited","Senoro_Toili_Sulawesi",503000,503000
"Indonesia","PT","PT_EMP_Tonga","Tonga",563000,563000
"Indonesia","PT","PT_Sumatera_Persada_Energy","West_Kampar_Block",566000,566000
"Indonesia","BUMD","BUMD_Benuo_Taka","Wailawi",597000,597000
"Trinidad","Centrica","Centrica_(Horne_&_Wren)_Limited_(Operator_and_holder_of_80%_interest)","Block_1(a)",637010,637130
"Indonesia","BUMD","BUMD_Benuo_Taka","Wailawi",644000,644000
"Indonesia","PT","PT_Sele_Raya_Merangin_Dua","Merangin_II",660000,660000
"Trinidad","EOG","EOG_Resources_Trinidad_Block_4(a)_Unlimited","Block_4(a)",672213,670296
"Indonesia","PT","PT_PHE_Salawati_Basin","Salawati_Basin",678000,678000
"Indonesia","PetroChina","PetroChina_International_Bangko_Ltd.","Bangko",685000,685000
"Indonesia","Kalia","Kalila_(Korinci)_Ltd.","Korinci",686000,686000
"Trinidad","BHP","BHP_Billiton_(Trinidad-3A)_Ltd_(Operator_and_holder_of_25.5%_interest)","Block_3(a)",691964,691964
"Indonesia","PT","PT_PHE_Jawa_Ltd","Offshore_Northwest_Java",797000,797000
"Indonesia","TalismanEnergy","Talisman_Resources_(Bahamas)_Ltd","South_East_Sumatera",924000,924000
"Indonesia","Lundin","Lundin_Indonesia_BV/RHP_Salawati_Island_BV","Salawati_Island_JOB",947000,947000
"Indonesia","KGBerau","KG_Wiriagar_Petroleum_Ltd","Wiriagar",956000,956000
"Indonesia","BP","BP_Muturi_Ltd.","Muturi",971000,971000
"Indonesia","Kalrez","Kalrez_Petroleum_(Seram)_Ltd.","Bula_Seram",1056000,1055000
"Indonesia","Kingswood","Kingswood_Capital_Ltd","Langgak",1062000,1062000
"Indonesia","Lapindo","Lapindo_Brantas_Inc.","Brantas",1098000,1098000
"Indonesia","TalismanEnergy","Talisman_UK_(South_East_Sumatra)_Ltd","South_East_Sumatera",1120000,1120000
"Indonesia","Petroselat","Petroselat_Ltd.","Selat_Panjang",1123000,1123000
"Indonesia","ExxonMobil","Mobil_Pase_Inc.","Pase",906000,1146000
"Indonesia","Petroselat","Petroselat_Ltd.","Selat_Panjang",1212000,1212000
"Indonesia","Kalia","Kalila_(Korinci)_Ltd.","Korinci",1217000,1217000
"Indonesia","PearlOil","Pearl_Oil_(Island)_Ltd/Petrogas_(Island)_Ltd","Salawati_Island_JOB",1221000,1221000
"Indonesia","CNOOC","CNOOC_Muturia_Ltd","Muturi",1250000,1250000
"Indonesia","Lapindo","Lapindo_Brantas_Inc.","Brantas",1282000,1282000
"Indonesia","PT","PT_PHE_Salawati_Basin","Salawati_Basin",1327000,1327000
"Indonesia","CITIC","CITIC_Seram_Energy_Ltd.","Seram_Non_Bula",1341000,1341000
"Indonesia","Persuda","Perusda_Pertambangan_&_Energi","Rimau",1383000,1383000
"Indonesia","Novus","Novus_Petroleum_Canada_(Kakap)_Ltd","Kakap",1393000,1392000
"Indonesia","Kalrez","Kalrez_Petroleum_(Seram)_Ltd.","Bula",1415000,1415000
"Trinidad","Centrica","Centrica_Resources_Limited_(Operator_and_holder_of_90%_interest)","Block_22",1456470,1457637
"Indonesia","Petroselat","Petroselat_Ltd.","Selat_Panjang",1505000,1505000
"Indonesia","PT","PT_Medco_E&P_Lematang","Lematang",1552000,1552000
"Indonesia","Novus","Novus_Nominees_Pty_Ltd","Kakap",1574000,1575000
"Indonesia","Tiptop","Tiptop_Makassar_Ltd","Makassar_Strait",1605000,1605000
